,Rank,Name,Market Cap,Price,Today,Country
703,704,ServiceSource,$0.15 B,$1.50,0.67%,USA
704,705,CalAmp,$0.15 B,$4.05,0.00%,USA
705,706,Applied Blockchain,$0.14 B,$1.59,0.00%,USA
706,707,Doma,$0.14 B,$0.45,0.84%,USA
707,708,CleanSpark,$0.14 B,$3.13,0.64%,USA
708,709,The RealReal,$0.14 B,$1.52,4.10%,USA
709,710,kneat.com,$0.14 B,$1.82,5.62%,Ireland
710,711,Spok Holdings,$0.14 B,$7.25,0.14%,USA
711,712,Quick Heal,$0.13 B,$2.40,3.86%,India
712,713,Avaya Holdings,$0.13 B,$1.59,8.16%,USA
713,714,"PLAID,Inc.",$0.13 B,$4.18,2.58%,Japan
714,715,Smith Micro Software,$0.13 B,$2.38,3.64%,USA
715,716,Aterian,$0.13 B,$1.89,0.00%,USA
716,717,Nucleus Software Exports,$0.13 B,$4.90,0.85%,India
717,718,Rubicon Technologies,$0.12 B,$2.60,10.34%,USA
718,719,Serverworks,$0.12 B,$16.16,1.97%,Japan
719,720,KLab,$0.12 B,$3.26,3.75%,Japan
720,721,Iteris,$0.12 B,$2.91,1.02%,USA
721,722,Latch,$0.12 B,$0.86,1.83%,USA
722,723,Quantum,$0.12 B,$1.20,4.76%,USA
723,724,Paysign,$0.12 B,$2.33,4.12%,USA
724,725,TeraWulf,$0.12 B,$1.05,5.41%,USA
725,726,Rockley Photonics,$0.11 B,$0.90,2.51%,UK
726,727,Userjoy Technology,$0.11 B,$2.38,3.42%,Taiwan
727,728,Wejo Group,$0.11 B,$1.05,2.94%,UK
728,729,Tabula Rasa HealthCare,$0.11 B,$4.28,2.95%,USA
729,730,Troops,$0.10 B,$1.07,2.88%,Hong Kong
730,731,Mynaric,$0.10 B,$4.70,8.74%,Germany
731,732,Asure Software,$0.10 B,$5.30,0.56%,USA
732,733,Park City Group,$0.10 B,$5.68,2.07%,USA
733,734,Phunware,$0.10 B,$1.07,10.08%,USA
734,735,Synchronoss,$0.10 B,$1.15,0.86%,USA
735,736,Swvl Holdings,$0.10 B,$0.75,2.32%,United Arab Emirates
736,737,Sylogist,$0.10 B,$4.20,6.07%,Canada
737,738,Mister Spex,$98.97 M,$2.92,4.12%,Germany
